,Normal_Samples,Exponential_Samples,Bimodal_Samples
23790,49.96,1.53,41.85
23791,44.55,13.09,30.75
23792,42.53,4.85,23.19
23793,50.64,1.19,36.49
23794,59.74,6.27,30.15
23795,50.66,27.68,31.02
23796,58.61,23.25,15.77
23797,65.16,7.32,22.75
23798,62.55,11.57,32.26
23799,46.65,11.68,25.13
23800,56.49,15.66,29.43
23801,40.64,30.66,21.75
23802,54.44,3.61,110.73
23803,72.1,20.7,16.06
23804,60.08,13.8,97.21
23805,49.74,22.4,22.51
23806,51.51,15.49,32.93
23807,52.25,2.09,31.06
23808,54.2,7.38,42.56
23809,59.39,8.09,31.28
23810,32.71,16.73,40.81
23811,48.74,17.29,18.36
23812,43.88,2.77,93.4
23813,62.88,7.22,31.73
23814,44.87,5.43,33.69
23815,51.14,1.87,29.99
23816,43.64,6.05,39.0
23817,31.0,12.03,27.74
23818,43.45,1.71,28.64
23819,30.37,7.41,33.54
23820,60.79,13.0,23.4
23821,49.45,11.19,25.4
23822,50.08,14.27,30.05
23823,43.44,32.49,37.87
23824,54.15,2.08,77.78
23825,64.28,1.67,28.48
23826,53.67,3.02,106.5
23827,44.71,29.49,46.08
23828,42.54,7.51,35.38
23829,61.46,7.07,31.35
23830,65.36,5.85,32.82
23831,54.0,23.57,94.66
23832,57.84,21.5,25.5
23833,67.09,22.33,32.91
23834,35.41,19.73,38.05
23835,54.9,3.72,28.55
23836,44.02,4.72,35.17
23837,50.91,5.76,27.31
23838,52.99,5.59,20.9
23839,29.91,7.95,20.06
23840,54.77,22.25,34.22
23841,49.8,1.58,18.82
23842,42.56,9.95,32.95
23843,38.81,8.37,32.62
23844,44.93,7.27,34.4
23845,51.15,3.13,32.1
23846,36.34,15.74,30.3
23847,66.29,2.67,32.22
23848,71.9,11.64,28.12
23849,51.53,2.96,18.18
23850,37.62,18.24,21.94
23851,32.33,21.82,90.53
23852,45.64,8.86,25.88
23853,42.21,14.77,34.32
23854,30.35,1.19,113.35
23855,57.6,6.62,39.39
23856,44.07,3.85,34.66
23857,55.2,5.93,30.19
23858,53.71,4.92,43.19
23859,62.09,10.78,24.16
23860,55.29,17.55,31.64
23861,49.12,8.56,37.18
23862,50.27,24.92,30.63
23863,30.16,1.27,25.37
23864,54.11,4.45,100.72
23865,34.27,20.48,42.44
23866,63.05,5.54,34.06
23867,48.79,17.26,20.11
23868,47.4,8.96,31.69
23869,35.47,1.44,20.61
23870,58.16,19.09,33.7
23871,52.74,8.33,26.79
23872,34.32,27.42,24.67
23873,44.06,8.49,31.1
23874,60.63,3.72,115.63
23875,54.98,13.83,37.73
23876,63.63,20.25,28.13
23877,48.22,5.54,34.11
23878,42.28,3.08,37.22
23879,38.31,1.34,36.48
23880,47.96,16.9,32.03
23881,36.18,9.37,23.34
23882,55.53,19.91,15.24
23883,61.42,3.39,36.83
23884,60.2,1.21,33.71
23885,43.04,1.23,26.73
23886,57.35,8.55,27.67
23887,37.61,4.82,26.91
23888,50.82,4.64,47.92
23889,45.68,7.27,48.65
23890,57.41,29.35,44.78
23891,50.14,1.56,38.33
23892,43.0,23.62,44.54
23893,58.78,32.1,12.24
23894,42.8,18.15,112.33
23895,34.96,10.35,29.13
23896,29.31,6.63,39.55
23897,42.07,9.06,42.46
23898,49.61,4.75,21.69
23899,37.57,14.25,28.52
23900,44.1,6.81,30.52
23901,44.08,17.58,26.32
23902,51.43,2.18,30.48
23903,52.18,6.1,34.54
23904,58.35,4.04,34.12
23905,69.36,1.71,35.67
23906,51.1,16.92,30.78
23907,51.44,3.25,42.75
23908,54.73,11.09,18.2
23909,56.05,31.27,32.95
23910,63.42,35.77,23.59
23911,56.53,54.86,25.62
23912,64.4,3.98,36.94
23913,55.95,17.49,102.36
23914,61.75,35.73,39.04
23915,48.31,2.73,14.56
23916,46.45,2.92,103.53
23917,51.41,2.09,36.06
23918,36.33,10.79,25.34
23919,49.77,13.41,90.19
23920,69.26,42.82,34.25
23921,24.46,42.83,28.68
23922,44.46,3.54,29.1
23923,58.04,7.06,40.24
23924,45.76,2.05,114.42
23925,42.56,16.76,104.19
23926,37.58,8.34,26.3
23927,59.47,16.53,35.18
23928,63.52,1.37,90.38
23929,38.07,42.16,22.23
23930,62.92,31.11,35.76
23931,51.17,5.27,104.04
23932,64.08,4.72,41.13
23933,56.17,10.83,41.43
23934,66.14,12.39,29.62
23935,71.97,11.73,34.3
23936,45.62,14.1,33.23
23937,41.57,19.83,12.1
23938,50.02,1.25,26.31
23939,32.21,1.57,35.49
23940,60.63,23.0,96.86
23941,35.19,10.25,42.27
23942,50.63,9.92,29.62
23943,39.4,2.53,39.44
23944,55.67,27.67,35.48
23945,61.13,41.29,19.34
23946,58.17,2.59,31.22
23947,56.39,9.52,34.18
23948,29.8,2.99,43.91
23949,66.57,4.96,37.58
23950,58.67,3.45,26.62
23951,65.82,5.97,39.3
23952,62.1,18.36,39.45
23953,48.15,5.38,33.8
23954,63.69,1.59,32.63
23955,56.76,9.45,24.98
23956,45.92,1.95,29.22
23957,34.72,2.77,16.85
23958,65.81,6.41,47.62
23959,50.78,8.06,35.8
23960,50.98,19.31,35.51
23961,48.29,4.6,35.29
23962,45.89,27.13,40.41
23963,62.57,5.91,30.05
23964,47.72,16.71,123.74
23965,58.73,34.12,28.2
23966,57.14,1.21,41.5
23967,48.19,2.94,30.97
23968,59.88,2.61,18.7
23969,51.69,9.0,40.4
23970,62.33,32.85,27.33
23971,55.18,18.19,38.16
23972,46.21,3.48,19.57
23973,45.48,8.8,95.97
23974,55.05,3.0,34.44
23975,49.45,6.64,25.71
23976,48.13,16.98,39.53
23977,28.64,4.72,23.92
23978,48.01,23.25,46.57
23979,43.11,3.66,45.81
23980,32.33,10.36,26.38
23981,57.83,19.24,108.02
23982,54.49,8.45,29.8
23983,48.05,15.64,22.3
23984,35.41,4.96,28.27
23985,52.11,5.49,31.3
23986,38.47,4.1,31.54
23987,57.05,4.98,98.11
23988,43.7,20.65,21.15
23989,59.55,3.45,23.03
23990,31.43,7.46,38.46
23991,49.51,13.56,23.44
23992,34.64,10.61,28.67
23993,48.34,3.6,38.81
23994,33.08,9.16,34.84
23995,67.81,4.71,43.93
23996,35.58,7.36,29.76
23997,54.49,9.3,33.8
23998,42.93,10.09,99.5
23999,49.41,4.69,28.54
24000,36.54,9.51,36.53
24001,49.95,11.95,86.9
24002,59.07,4.98,33.47
24003,52.38,2.72,28.91
24004,63.21,22.01,34.91
24005,53.25,9.64,30.19
24006,56.61,1.73,34.7
24007,46.84,19.65,19.98
24008,51.37,3.29,32.37
24009,46.19,5.93,42.13
24010,48.93,20.6,33.08
24011,38.5,4.8,38.8
24012,47.93,19.54,22.55
24013,51.35,4.27,32.21
24014,65.28,6.85,46.93
24015,49.73,3.23,30.38
24016,48.19,3.63,13.02
24017,55.49,6.81,19.73
24018,41.2,4.48,14.03
24019,48.29,10.51,23.54
24020,43.55,19.74,34.16
24021,58.39,9.16,24.33
24022,52.85,37.54,30.61
24023,77.36,2.47,19.17
24024,29.02,7.03,94.38
24025,47.06,9.83,25.13
24026,36.11,8.3,32.58
24027,46.62,7.38,34.46
24028,40.47,7.28,30.75
24029,42.71,4.7,40.3
24030,54.49,10.0,27.51
24031,31.32,7.91,20.6
24032,57.74,2.67,48.92
24033,42.67,10.95,29.2
24034,49.0,5.68,10.04
24035,51.11,5.53,39.83
24036,47.8,43.21,25.7
24037,43.1,22.59,79.48
24038,58.76,6.69,32.92
24039,52.47,8.92,27.62
24040,71.35,3.1,20.65
24041,33.79,10.08,28.64
24042,46.16,51.83,37.84
24043,60.9,18.65,48.43
24044,53.39,8.31,27.0
24045,53.82,20.53,27.53
24046,25.73,1.4,17.66
24047,28.85,22.46,27.22
24048,45.51,4.05,24.22
24049,50.54,1.72,27.76
24050,52.59,5.68,89.06
24051,50.04,2.06,29.35
24052,38.1,3.61,23.97
24053,58.54,39.73,37.38
24054,53.13,15.45,32.84
24055,32.93,69.72,33.65
24056,52.44,22.29,102.55
24057,41.71,16.28,25.35
24058,42.42,2.14,36.15
24059,58.71,5.54,36.3
24060,34.82,18.43,39.01
24061,64.49,5.89,102.62
24062,37.73,1.1,26.03
24063,36.97,16.12,32.86
24064,48.29,16.5,93.41
24065,45.97,32.74,34.35
24066,52.71,4.79,18.63
24067,51.98,3.08,24.59
24068,34.61,6.56,9.87
24069,56.44,5.06,36.23
24070,63.34,5.02,21.63
24071,59.59,6.09,23.78
24072,41.75,4.57,28.63
24073,58.75,17.47,4.87
24074,42.11,8.04,23.39
24075,61.74,3.65,32.07
24076,49.4,10.56,35.42
24077,52.04,4.36,18.32
24078,45.64,3.98,39.1
24079,70.04,6.52,38.39
24080,54.53,13.67,35.27
24081,71.03,6.73,30.99
24082,56.95,1.68,33.17
24083,70.23,24.74,40.89
24084,27.09,6.88,34.63
24085,32.9,16.64,21.13
24086,60.07,7.33,26.56
24087,51.34,5.12,26.36
24088,71.53,2.21,15.56
24089,48.11,16.66,6.01
24090,48.93,18.49,15.84
24091,56.31,1.35,29.45
24092,55.41,17.15,16.63
24093,42.62,1.66,16.18
24094,31.18,8.22,30.55
24095,34.52,9.2,38.66
24096,55.32,10.55,17.02
24097,42.06,3.4,44.86
24098,59.53,3.82,44.72
24099,56.5,9.02,27.75
24100,36.88,6.11,110.89
24101,49.02,29.26,21.09
24102,50.27,2.28,94.0
24103,57.87,19.86,43.83
24104,52.06,4.62,37.61
24105,57.89,4.85,109.49
24106,40.56,6.11,33.4
24107,56.41,3.18,43.43
24108,45.31,2.55,40.74
24109,56.99,4.28,23.46
24110,47.02,15.45,43.91
24111,37.48,12.12,15.54
24112,44.5,10.28,32.57
24113,53.99,3.31,23.82
24114,38.97,7.97,42.16
24115,55.02,7.65,5.66
24116,46.07,31.55,29.66
24117,57.19,9.46,39.08
24118,52.56,1.91,27.01
24119,58.03,6.57,19.38
24120,54.57,2.78,23.21
24121,41.41,24.53,19.55
24122,41.1,3.38,112.46
24123,27.23,15.98,30.27
24124,46.3,19.91,22.12
24125,37.69,3.37,35.01
24126,42.96,9.55,21.06
24127,70.86,35.86,35.34
24128,40.88,4.4,34.03
24129,54.76,10.35,37.05
24130,47.67,10.88,91.92
24131,37.17,5.5,40.82
24132,56.71,3.74,30.6
24133,60.35,5.15,18.04
24134,38.51,7.77,30.13
24135,44.09,4.07,40.58
24136,47.53,20.38,19.42
24137,48.81,3.88,30.33
24138,48.75,2.66,28.86
24139,51.19,12.8,42.43
24140,34.32,9.79,29.92
24141,41.55,1.18,29.76
24142,50.45,1.52,108.86
24143,41.92,9.4,41.89
24144,41.98,14.64,33.2
24145,61.23,13.48,31.54
24146,48.29,29.3,36.78
24147,45.6,26.69,20.95
24148,63.62,7.32,13.51
24149,46.35,43.54,29.28
24150,47.48,1.76,36.53
24151,58.93,6.54,22.8
24152,61.2,8.58,21.22
24153,53.85,2.12,46.84
24154,38.41,2.3,41.42
24155,57.95,9.67,34.91
24156,49.99,20.7,34.47
24157,41.67,3.14,93.39
24158,47.9,23.46,28.71
24159,66.62,3.02,28.24
24160,56.07,4.81,121.57
24161,61.86,2.62,44.89
24162,28.65,11.1,28.42
24163,48.74,12.87,33.2
24164,45.86,2.17,36.42
24165,42.8,8.07,110.45
24166,56.69,5.13,32.35
24167,38.42,48.48,27.85
24168,57.63,21.07,103.02
24169,41.97,5.27,18.08
24170,48.89,20.12,28.55
24171,40.46,3.83,19.81
24172,65.82,16.13,47.8
24173,36.45,13.43,39.99
24174,54.05,9.17,19.94
24175,55.58,1.72,91.07
24176,40.86,4.6,23.05
24177,53.82,15.07,31.83
24178,49.78,6.87,35.27
24179,45.19,10.37,22.23
24180,50.32,22.4,23.95
24181,52.83,8.17,28.76
24182,63.29,5.98,18.15
24183,50.08,23.49,27.2
24184,45.88,29.92,29.23
24185,51.73,2.5,33.45
24186,37.18,4.66,32.67
24187,70.37,3.47,23.43
24188,55.26,8.08,24.12
24189,51.38,5.13,34.19
24190,53.18,25.62,16.98
24191,42.39,3.62,39.54
24192,47.54,9.85,34.3
24193,56.12,3.16,31.7
24194,59.18,3.73,44.0
24195,49.43,7.21,28.43
24196,43.36,16.57,34.96
24197,38.98,3.71,44.64
24198,49.17,7.65,17.72
24199,60.68,3.03,35.2
24200,52.82,13.39,27.82
24201,66.26,9.82,8.15
24202,45.04,4.13,27.6
24203,44.73,12.16,31.67
24204,59.64,3.3,24.89
24205,54.53,2.13,29.53
24206,66.34,14.63,32.57
24207,54.22,19.02,28.31
24208,57.11,5.4,23.57
24209,56.29,1.88,30.71
24210,46.24,4.74,23.68
24211,45.34,26.46,20.98
24212,48.81,23.21,38.56
24213,48.28,2.85,24.28
24214,51.12,32.43,24.39
24215,60.2,6.67,22.37
24216,58.24,3.94,40.17
24217,28.28,3.8,13.23
24218,47.43,8.0,23.73
24219,29.35,5.23,30.25
24220,51.66,13.53,107.41
24221,48.28,5.48,21.3
24222,46.83,12.34,27.87
24223,38.53,4.46,24.44
24224,51.72,3.46,21.19
24225,51.74,2.1,37.46
24226,58.99,3.9,42.55
24227,43.22,9.53,21.87
24228,54.06,2.08,29.93
24229,43.65,3.79,32.6
24230,62.31,50.99,31.82
24231,43.07,13.15,44.2
24232,45.63,8.66,96.52
24233,63.41,8.64,32.97
24234,32.05,6.11,37.44
24235,61.15,4.56,50.01
24236,44.22,2.73,44.69
24237,56.95,6.97,22.02
24238,29.28,11.18,26.48
24239,59.16,11.03,29.62
24240,50.11,10.56,22.42
24241,44.66,5.14,23.91
24242,56.67,11.53,26.89
24243,48.9,3.66,111.08
24244,50.97,2.48,28.95
24245,49.16,10.27,31.49
24246,40.67,23.03,42.4
24247,52.11,2.26,17.34
24248,67.22,3.95,86.1
24249,52.85,18.33,34.0
24250,43.15,22.95,25.69
24251,38.64,1.05,36.25
24252,69.88,2.41,117.47
24253,48.43,14.24,97.7
24254,39.89,7.71,29.49
24255,32.47,9.5,27.51
24256,41.01,1.04,23.08
24257,64.09,8.84,29.89
24258,52.34,8.35,40.45
24259,57.3,4.82,25.49
24260,52.48,9.03,28.14
24261,50.68,5.74,27.09
24262,54.03,10.85,28.01
24263,59.38,8.42,38.4
24264,45.65,2.13,26.1
24265,51.77,10.61,22.84
24266,57.15,2.38,28.49
24267,54.6,7.25,31.19
24268,51.03,12.65,29.63
24269,35.62,13.38,23.76
24270,48.41,28.33,13.53
24271,52.55,6.89,46.0
24272,59.27,3.55,26.21
24273,64.71,2.0,23.4
24274,50.97,25.21,15.8
24275,54.16,22.82,40.76
24276,68.83,4.71,21.94
24277,42.79,19.77,32.56
24278,51.31,35.65,26.56
24279,42.02,2.65,25.67
24280,52.12,5.23,29.04
24281,64.49,3.44,24.39
24282,65.08,6.25,107.09
24283,60.17,2.79,25.95
24284,55.71,16.23,21.43
24285,53.12,12.28,40.38
24286,64.03,2.44,21.47
24287,56.36,3.02,27.6
24288,62.55,46.9,35.68
24289,31.86,5.45,42.05
24290,36.87,15.63,25.62
24291,59.75,9.06,30.9
24292,41.49,8.31,27.11
24293,60.78,12.26,37.94
24294,53.24,1.85,23.64
24295,45.18,5.64,36.96
24296,47.19,24.18,36.68
24297,62.84,16.83,22.79
24298,49.34,13.33,26.59
24299,46.21,26.12,30.43
24300,61.86,5.18,33.94
24301,37.99,10.52,28.89
24302,31.71,1.25,101.3
24303,69.26,10.65,46.5
24304,49.1,8.25,27.76
24305,43.43,8.91,35.53
24306,34.92,18.22,33.37
24307,52.34,7.18,29.64
24308,55.94,10.24,33.99
24309,50.61,14.02,38.3
24310,62.94,4.07,29.06
24311,56.22,5.85,35.54
24312,58.21,1.18,33.75
24313,36.9,1.41,43.06
24314,51.28,1.41,38.32
24315,34.06,1.55,15.11
24316,45.88,4.82,26.04
24317,45.97,8.49,32.86
24318,38.37,7.96,22.54
24319,54.89,1.01,25.08
24320,55.71,3.56,43.43
24321,35.74,4.92,27.56
24322,39.06,4.97,30.44
24323,52.7,12.88,95.73
24324,60.12,5.33,33.22
24325,47.16,5.44,25.92
24326,63.2,16.64,46.84
24327,53.66,5.43,100.44
24328,69.67,22.47,32.92
24329,27.15,7.09,21.87
24330,51.45,11.59,28.07
24331,53.45,4.14,34.64
24332,48.63,18.96,32.27
24333,57.96,2.97,23.39
24334,66.85,25.36,20.17
24335,57.71,2.25,32.34
24336,57.7,8.45,41.03
24337,49.53,7.15,12.22
24338,38.58,3.31,20.9
24339,62.57,2.73,24.9
24340,47.64,1.26,6.34
24341,48.4,16.89,22.08
24342,51.03,17.46,21.38
24343,41.06,6.29,30.14
24344,39.11,5.49,47.39
24345,46.56,35.8,21.24
24346,66.13,24.5,29.22
24347,34.67,4.14,19.83
24348,46.53,6.96,41.77
24349,31.38,11.97,33.88
24350,44.55,2.72,87.14
24351,49.48,1.05,31.76
24352,38.4,2.2,31.55
24353,40.03,24.85,35.9
24354,19.92,6.22,25.67
24355,41.49,6.6,38.08
24356,46.72,51.37,40.87
24357,67.4,12.46,28.97
24358,47.0,6.57,26.24
24359,54.13,1.13,37.46
24360,46.6,20.02,36.66
24361,50.64,14.84,100.86
24362,46.06,5.56,45.14
24363,50.7,32.65,17.69
24364,44.34,4.06,43.14
24365,46.49,9.23,32.57
24366,42.89,26.95,97.44
24367,40.14,8.43,38.25
24368,54.87,5.66,23.23
24369,22.81,6.52,29.11
24370,48.56,20.12,28.87
24371,55.56,5.25,39.33
24372,42.28,22.37,40.71
24373,38.7,9.81,21.49
24374,54.66,15.34,16.41
24375,53.48,1.11,30.01
24376,60.18,9.12,17.6
24377,30.67,5.55,28.45
24378,60.46,7.92,27.39
24379,58.1,1.73,17.74
24380,64.29,7.35,23.93
24381,69.32,2.64,20.32
24382,40.55,7.33,32.19
24383,53.5,9.33,35.93
24384,58.82,2.42,32.9
24385,56.08,23.94,22.11
24386,50.29,18.04,33.25
24387,41.19,5.28,42.5
24388,39.33,1.61,23.01
24389,46.71,13.17,15.89
24390,63.56,18.32,29.84
24391,63.33,8.79,34.16
24392,55.06,26.78,21.86
24393,31.61,18.87,89.01
24394,72.2,11.91,29.67
24395,61.39,3.27,27.76
24396,43.55,23.42,30.5
24397,49.65,5.09,38.44
24398,40.55,9.47,14.28
24399,49.23,5.07,21.88
24400,40.7,15.92,35.65
24401,40.5,32.51,17.31
24402,37.6,10.47,22.54
24403,66.05,5.66,30.87
24404,64.78,15.67,25.62
24405,56.84,6.88,34.55
24406,53.93,20.52,39.17
24407,58.14,21.45,16.39
24408,52.07,20.37,26.47
24409,61.15,58.22,32.28
24410,43.94,10.11,21.62
24411,44.06,3.98,27.15
24412,43.3,3.82,24.3
24413,37.32,17.13,26.8
24414,56.76,14.29,25.96
24415,35.04,9.41,34.83
24416,44.32,15.46,30.56
24417,49.22,25.59,105.44
24418,53.5,11.0,95.72
24419,54.26,3.37,90.63
24420,57.88,5.93,35.38
24421,48.31,8.6,27.2
24422,59.35,5.56,28.25
24423,65.76,8.85,101.53
24424,45.47,4.38,34.08
24425,59.31,27.77,25.7
24426,54.54,1.51,24.56
24427,55.13,3.57,13.14
24428,41.05,11.78,37.86
24429,38.28,8.57,33.36
24430,44.97,1.4,90.02
24431,40.13,9.7,99.17
24432,50.23,15.15,16.22
24433,34.57,1.0,32.58
24434,46.89,7.03,24.34
24435,53.09,5.2,23.53
24436,52.91,6.91,17.41
24437,65.92,22.87,23.1
24438,48.86,2.72,99.93
24439,64.62,3.71,26.19
24440,70.74,20.73,41.02
24441,36.43,20.29,20.4
24442,41.76,3.41,24.29
24443,56.7,6.47,96.3
24444,49.88,6.79,27.28
24445,54.79,19.63,120.26
24446,26.24,7.54,33.28
24447,47.44,35.31,102.8
24448,57.1,3.11,29.55
24449,39.27,13.42,19.33
24450,41.43,3.74,24.33
24451,34.68,12.39,26.61
24452,46.37,6.29,21.17
24453,51.21,2.85,47.97
24454,59.36,3.49,29.54
24455,59.5,25.87,30.75
24456,55.09,13.36,102.0
24457,63.63,3.71,39.2
24458,57.29,2.47,43.79
24459,62.42,8.81,47.52
24460,42.39,2.26,100.43
24461,46.28,5.95,20.19
24462,30.52,27.14,27.65
24463,44.13,21.67,26.13
24464,56.11,6.14,33.45
24465,39.64,10.97,38.21
24466,40.28,57.97,44.87
24467,47.72,41.16,33.39
24468,53.0,15.67,50.09
24469,33.11,4.89,24.73
24470,35.89,2.92,29.55
24471,59.0,2.99,24.21
24472,44.98,6.98,40.06
24473,54.45,12.68,37.01
24474,46.82,12.36,34.52
24475,57.92,2.44,36.5
24476,54.23,11.34,23.27
24477,44.21,1.42,29.53
24478,60.05,10.28,37.88
24479,43.14,15.61,17.48
24480,48.77,26.07,17.78
24481,58.46,4.83,16.85
24482,57.65,18.0,29.34
24483,47.86,8.02,15.12
24484,41.12,9.85,35.24
24485,59.63,17.47,26.69
24486,38.13,15.53,30.98
24487,47.71,13.99,28.15
24488,35.8,21.41,18.38
24489,33.04,6.24,26.53
24490,58.82,21.73,25.26
24491,66.44,15.94,22.49
24492,70.72,13.1,35.15
24493,47.51,3.4,37.6
24494,50.79,6.77,41.55
24495,27.38,6.19,29.42
24496,46.56,9.1,14.3
24497,45.89,34.97,42.77
24498,58.03,10.99,36.43
24499,35.24,12.42,4.2
24500,41.13,3.85,32.09
24501,49.46,26.92,28.99
24502,25.97,2.37,23.86
24503,34.24,15.11,36.52
24504,46.37,2.34,37.05
24505,31.22,6.68,29.59
24506,46.69,7.61,38.61
24507,36.0,1.4,34.19
24508,60.26,18.95,36.22
24509,52.46,19.74,23.72
24510,86.08,6.1,43.65
24511,42.33,11.09,24.61
24512,41.15,21.21,24.85
24513,55.91,7.31,100.13
24514,60.53,22.96,92.99
24515,42.11,11.24,36.13
24516,42.56,18.19,48.73
24517,50.35,14.34,36.86
24518,35.23,5.62,21.93
24519,39.43,1.91,24.83
24520,56.64,19.95,36.6
24521,40.48,14.72,22.69
24522,41.75,28.65,26.46
24523,51.25,2.36,29.12
24524,56.22,3.41,29.18
24525,41.07,25.28,32.22
24526,53.13,12.85,27.36
24527,53.05,13.81,30.45
24528,32.99,25.66,119.7
24529,56.3,4.96,26.01
24530,19.54,5.29,32.67
24531,45.52,18.32,13.26
24532,51.2,2.9,34.81
24533,43.99,27.19,24.01
24534,68.38,4.62,112.03
24535,49.52,7.28,11.33
24536,40.61,26.44,19.59
24537,48.96,14.1,26.56
24538,49.74,29.79,26.86
24539,59.65,19.8,15.89
24540,52.29,34.67,35.58
24541,36.45,1.31,88.0
24542,50.03,13.21,17.57
24543,54.12,2.77,16.16
24544,28.43,17.97,89.38
24545,41.63,6.49,25.91
24546,54.94,3.76,36.81
24547,47.62,9.68,37.56
24548,49.88,1.71,32.66
24549,44.94,34.01,42.55
24550,42.43,4.8,27.64
24551,52.9,12.73,39.26
24552,50.81,5.9,36.9
24553,49.27,4.62,30.58
24554,60.2,43.17,24.36
24555,39.78,1.2,22.22
24556,44.69,20.64,22.15
24557,34.45,3.84,23.69
24558,57.46,1.66,122.85
24559,60.64,2.08,22.75
24560,40.29,1.5,24.51
24561,52.6,22.52,22.95
24562,48.37,21.95,32.16
24563,48.74,3.85,29.41
24564,50.71,2.33,35.65
24565,75.53,23.55,11.52
24566,44.59,25.64,28.08
24567,61.49,1.74,33.98
24568,59.33,1.87,38.98
24569,43.05,17.16,14.76
24570,41.17,17.92,29.87
24571,49.6,7.68,47.95
24572,54.44,6.91,25.7
24573,37.56,4.37,18.63
24574,68.91,27.48,14.41
24575,41.94,35.1,14.86
24576,45.85,11.3,30.56
24577,49.45,17.54,22.25
24578,45.45,3.7,26.82
24579,46.7,9.01,50.45
24580,50.38,2.32,29.05
24581,52.64,3.78,24.05
24582,67.26,10.01,91.23
24583,44.76,20.62,16.86
24584,45.19,10.46,111.09
24585,63.56,11.66,24.46
24586,42.67,6.65,33.23
24587,52.97,4.51,22.32
24588,60.35,11.03,18.18
24589,41.02,18.86,22.01
24590,54.46,10.65,38.1
24591,39.0,9.16,30.59
24592,51.06,3.94,21.62
24593,61.15,13.26,25.13
24594,49.15,22.76,37.77
24595,36.24,2.17,32.24
24596,33.0,24.5,32.24
24597,35.32,6.02,28.01
24598,39.29,18.45,19.64
24599,69.89,5.53,12.28
24600,41.02,22.67,26.95
24601,60.38,1.92,28.85
24602,61.25,1.85,28.74
24603,39.02,6.53,25.47
24604,76.79,3.17,24.41
24605,45.74,13.33,41.31
24606,56.54,7.27,97.64
24607,55.32,3.04,33.03
24608,50.01,3.22,26.42
24609,54.48,1.53,39.39
24610,53.78,26.58,34.73
24611,47.33,17.76,26.41
24612,60.03,26.63,27.53
24613,60.82,15.23,27.74
24614,57.33,1.84,32.25
24615,42.78,2.39,32.35
24616,57.75,4.51,31.02
24617,31.82,14.9,33.42
24618,46.38,23.02,32.47
24619,32.88,7.4,24.88
24620,59.15,20.02,101.62
24621,51.74,10.57,41.74
24622,32.63,2.98,30.09
24623,48.32,9.05,21.86
24624,45.82,16.5,31.32
24625,52.27,1.06,94.03
24626,46.77,1.6,36.85
24627,68.51,2.33,102.0
24628,70.42,11.54,31.69
24629,54.91,5.05,39.11
24630,50.39,6.98,76.67
24631,54.72,32.25,28.84
24632,65.36,1.02,17.56
24633,44.02,4.81,95.65
24634,51.97,25.0,34.62
24635,34.06,13.61,30.86
24636,37.77,5.31,24.28
24637,48.54,10.56,106.48
24638,38.19,1.53,112.46
24639,33.92,28.0,31.41
24640,59.92,6.16,112.49
24641,53.74,1.26,29.66
24642,56.95,22.49,32.36
24643,67.65,1.37,53.46
24644,34.82,22.68,26.72
24645,40.36,11.05,11.82
24646,61.07,2.18,27.0
24647,43.95,1.17,27.95
24648,44.68,12.14,29.99
24649,49.25,2.62,27.16
24650,50.12,17.8,24.89
24651,44.72,2.78,39.63
24652,46.17,29.0,88.37
24653,45.15,10.43,30.01
24654,56.78,10.72,25.16
24655,56.28,12.56,13.01
24656,48.62,5.4,22.85
24657,59.26,4.65,18.25
24658,48.01,24.38,23.53
24659,61.38,6.82,21.48
24660,59.21,3.58,38.32
24661,58.76,11.32,31.6
24662,58.94,1.84,36.87
24663,48.22,2.32,17.63
24664,40.7,29.68,39.81
24665,38.29,2.13,88.39
24666,40.28,8.57,94.31
24667,56.35,13.04,21.37
24668,53.7,12.83,31.26
24669,34.63,7.55,27.84
24670,46.46,25.32,28.14
24671,62.39,13.49,7.83
24672,64.85,3.84,28.5
24673,46.61,13.65,19.2
24674,61.1,8.42,33.96
24675,59.88,2.69,26.71
24676,66.35,1.89,23.91
24677,45.18,3.16,34.76
24678,54.59,38.17,38.26
24679,40.97,9.79,35.02
24680,40.31,15.36,19.87
24681,55.97,14.72,8.01
24682,44.64,14.25,33.86
24683,51.27,2.41,110.82
24684,51.49,15.71,29.07
24685,55.88,21.33,26.3
24686,58.33,12.24,26.51
24687,42.96,39.19,22.19
24688,57.47,1.88,33.76
24689,73.05,6.78,33.42
24690,44.84,13.9,22.61
24691,55.11,1.4,35.73
24692,36.23,8.28,26.28
24693,72.21,7.48,37.08
24694,31.57,3.44,30.15
24695,45.05,7.59,18.96
24696,60.59,48.5,19.81
24697,45.5,1.11,36.68
24698,55.79,4.67,28.29
24699,33.96,7.92,36.78
24700,47.45,10.41,32.6
24701,49.99,3.06,26.77
24702,50.67,19.33,116.36
24703,33.4,29.26,21.27
24704,67.14,20.2,40.23
24705,41.64,9.22,26.86
24706,54.03,11.33,32.03
24707,64.98,39.19,36.16
24708,52.2,2.68,34.89
24709,56.06,9.84,28.84
24710,58.54,1.41,75.84
24711,51.29,8.73,26.9
24712,38.63,2.53,22.08
24713,38.2,7.74,116.38
24714,43.24,1.32,24.47
24715,40.45,3.72,51.48
24716,52.7,12.19,30.38
24717,62.42,4.85,41.61
24718,47.2,1.04,26.62
24719,35.99,8.73,33.4
24720,51.49,1.12,120.6
